disease_name,description
Neuroblastoma,Focus on DFMO-based combinations ALK-targeted therapy and immune-modulating strategies to reduce relapse in high-risk disease.
Sarcomas,Advance genomic discovery and precision medicine for Ewing sarcoma osteosarcoma and rhabdomyosarcoma while testing rational combinations for frontline and relapsed disease.
CNS Tumors,Study rare and aggressive pediatric brain tumors including DIPG ATRT ETMR and medulloblastoma with inhibitor combinations aimed at future clinical trials.
