title,description,image_filename
Precision Medicine Program,Integrate genomic sequencing bioinformatic analysis and preclinical validation to prioritize therapeutic targets and combinations for pediatric solid tumors.,Research-Summary-Figure.jpg
Collaboration Model,Work with Beat Childhood Cancer collaborators through shared samples sequencing data and bioinformatic support to move ideas from lab to bedside quickly.,Logo-Beat-Childhood-Cancer-Research-Consortium.png
