highlight_text
Advanced DFMO to FDA approval for high-risk neuroblastoma.
Chair and Founder of the Beat Childhood Cancer Research Consortium collaborating across 50+ universities and children's hospitals.
1000+ citations and h-index 20.
Led multiple Phase I and II trials in targeted therapy immunotherapy and precision medicine.
Contributed to relapse-prevention strategies improving event-free survival in high-risk neuroblastoma.
